Temperature_C,IceCream_Sales
30.52383028,875.8711971
26.95677672,810.4128467
36.4897603,1109.021413
23.79632315,710.1351541
15.30853488,472.521514
31.6664871,963.7456273
24.95914514,757.8013052
27.26781707,826.477386
34.01549456,1034.946338
30.59321846,925.9383614
17.08182258,499.5241077
21.94141909,641.3966584
37.66653416,1159.95626
16.15091584,515.4736949
16.09649004,472.9483581
15.36209806,429.4674081
28.03209957,836.7251965
21.77368656,661.557183
24.61689673,751.1708055
17.01229432,527.9900734
44.61300258,1351.872957
41.2608972,1207.208363
25.26208304,753.0361931
30.04052981,881.9082539
38.41576546,1150.548718
21.14937698,628.5234026
38.55215585,1158.782285
29.25512598,875.2168672
44.39866342,1291.073293
30.28266384,912.1791671
15.91489644,463.1678348
39.61462753,1201.420694
38.23957859,1128.485701
42.95261158,1288.566178
20.92667717,640.8781673
39.62547028,1204.757399
16.08481142,489.7594576
32.39211345,983.5281393
28.14895824,846.4452281
20.55811066,628.5793437
26.55293186,785.7020328
24.60048339,782.4209389
34.61982664,1061.460885
35.07462467,1058.421894
39.25192044,1194.549304
44.16160424,1320.034076
40.89310278,1208.214554
40.64922059,1234.754676
37.20939093,1120.480249
16.69756968,501.6345189
39.38552915,1143.848582
21.45255686,647.3501149
33.70946335,1017.117079
24.19246348,732.325759
36.78274001,1095.513295
31.19956139,966.8429772
36.97838098,1142.048686
26.6830404,804.2325908
25.63866473,779.8338468
38.51279527,1149.670127
40.37234635,1217.189758
30.69196274,943.6886255
43.03631642,1286.352452
44.97621897,1358.33905
17.9690587,561.0877572
29.55766812,874.3068589
16.23247095,473.9926018
25.02149897,750.2864097
33.39348717,985.8097574
35.40683338,1057.64715
15.1913713,450.0573814
24.1633268,716.9192453
31.23564168,888.2351105
27.49697485,825.7872563
21.48094321,650.2557855
39.29936231,1162.398
23.20879999,726.9116073
28.20457481,840.4447343
33.40245588,999.1440629
34.69435822,1037.959115
30.93992378,950.6003015
21.73321716,626.0299959
19.46387908,585.9161357
21.16104554,640.3990801
35.4753519,1089.985599
17.48396004,530.4374659
29.96903833,897.449735
30.54654947,916.1763576
21.91915921,647.712787
31.32378006,954.992309
39.58874609,1158.714756
18.82224215,560.2735236
44.53206542,1326.228436
20.86374001,640.4496108
37.51844255,1112.881486
40.34614043,1200.989617
39.5371253,1159.145209
23.64553578,705.36174
28.50072719,839.7786463
26.59387693,761.1048984
30.40900152,877.8155959
33.71995457,1023.788835
20.59701072,626.8270992
24.2126323,731.609341
38.01564867,1117.21068
33.99536025,1055.523098
32.80982374,1000.276074
26.27664855,769.8009403
15.58203737,487.7977388
15.91957507,453.3341093
33.8267424,1039.659523
35.11303001,1036.619287
35.16178508,1052.187236
31.46728895,943.8644954
44.27612588,1364.119422
22.46930697,656.6607438
41.9380588,1263.842459
38.69020841,1175.113402
42.00249549,1233.790874
18.7289167,575.7416234
26.45940136,779.9508129
44.67375957,1349.228196
16.84629102,524.6634883
28.47235542,854.4053901
27.15591428,822.0238161
